,0,1,2,3
0,because overpopulated species can be thinned out.,Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
1,Getting rid of an overpopulation enables the smaller animals in the food chain to grow.,Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
2,"It also allows for nature to take back the woods and grasslands, which will also enable other wildlife to grow.",Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
3,"Animals do not necessarily feel pain as we do,",because overpopulated species can be thinned out.,hunting_improves_environment,neutral
4,"In the absence of wolves and other large predators, humans become the deer population control to keep to deer from over-grazing regional flora.",Hunting is good.,hunting_improves_environment,neutral
5,"While I do acknowledge that older parents do have more life knowledge,",they also are going to have a more difficult time staying active with the child.,older_people_better_parents,neutral
6,Children are INCREDIBLY active,"and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",older_people_better_parents,neutral
7,Children are INCREDIBLY active,"While I do acknowledge that older parents do have more life knowledge,",older_people_better_parents,neutral
8,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.","and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",older_people_better_parents,neutral
9,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.","It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.",older_people_better_parents,neutral
10,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.",they also are going to have a more difficult time staying active with the child.,older_people_better_parents,neutral
11,"It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.","While I do acknowledge that older parents do have more life knowledge,",older_people_better_parents,neutral
12,it is simply not the case that growing older means growing wiser.,Older people do not necessarily make better parents.,older_people_better_parents,neutral
13,Older people are far more mature than this new generation of slackers and hipsters.,"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
14,"Older people make far more money than younger people on average,",so that really does not make much of a difference now.,older_people_better_parents,neutral
15,"Older people make far more money than younger people on average,","Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
16,Older people have far more experience than younger people.,so that really does not make much of a difference now.,older_people_better_parents,neutral
17,Older people have far more experience than younger people.,"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
18,so that really does not make much of a difference now.,Do older people make better parents? In this day and age the answer can only be yes.,older_people_better_parents,neutral
19,They have had time to mature more and learn about themselves.,"Some might say being too old risks the child being disabled,",older_people_better_parents,neutral
20,They have had time to mature more and learn about themselves.,so they can provide for a child.,older_people_better_parents,neutral
21,They're more likely to have steady careers going,"Some might say being too old risks the child being disabled,",older_people_better_parents,neutral
22,They're more likely to have steady careers going,I think it's possible for older people to be better parents.,older_people_better_parents,neutral
23,They will be more able to make sure their kids have everything they need.,One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,older_people_better_parents,neutral
24,They may be more financially secure.,One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,older_people_better_parents,neutral
25,But they can provide a more stable home.,Older parents may make better parents.,older_people_better_parents,neutral
26,But they can provide a more stable home.,They will be more able to make sure their kids have everything they need.,older_people_better_parents,neutral
27,"to sidestep the real issues which are lax to nonexistent policing, non-consistent prosecution and lenient sentencing.",It's the criminals who commit these violent acts against wildlife who need to be 'removed' from society itself.,removal_of_rhino_horns,neutral
28,"When you mutilate an animal, you are the problem.",The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
29,"Removing the rhino horns is the crime, not just removing the rhino's horns for money.",The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
30,Saying that you are mutilating the animal to protect people from mutilation poaching is absurd,The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
31,It's an attack on the animal.,The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
32,Don't they need them for survival?,"On one hand, yes I think removing rhinos' horns would be a good idea.",removal_of_rhino_horns,neutral
33,Removing the horns of wild rhinos leaves them defenseless.,Some say removing the horns will keep poachers from killing rhinos.,removal_of_rhino_horns,neutral
34,We live in the age of technology,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
35,Family time used to be about spending quality time and actually talking to each other.,and it needs to be rectified.,cell_phones_and_social_media_improve_families,neutral
36,Family time used to be about spending quality time and actually talking to each other.,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
37,This is driving a wedge between families,and it needs to be rectified.,cell_phones_and_social_media_improve_families,neutral
38,Family time needs to be a time where cell phones are put away and interaction with each other has everyone's full attention.,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
39,If this doesn't change we could find that families become even more dysfunctional as a unit.,but the constant use of cell phones is definitely not bringing families closer together.,cell_phones_and_social_media_improve_families,neutral
40,"Though, there has been no scientific research to date that can confirm this outcome.",but the constant use of cell phones is definitely not bringing families closer together.,cell_phones_and_social_media_improve_families,neutral
41,They stay in touch with each other throughout the day,"however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
42,I can talk to my cousins whenever I like.,"however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
43,"I have to admit though, that having the ability to communicate so freely does not mean that we do it.","however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
44,We can improve our day to day life a lot.,We can share all of our thought instantly.,cell_phones_and_social_media_improve_families,neutral
45,Because it consumes very less time as a communication channel.,We can improve our day to day life a lot.,cell_phones_and_social_media_improve_families,neutral
46,Cell phones and social media are really useful for society.,"Yes, cell phones and social media have made families closer.",cell_phones_and_social_media_improve_families,neutral
47,We can share all of our thought instantly.,"Yes, cell phones and social media have made families closer.",cell_phones_and_social_media_improve_families,neutral
48,We can share all of our thought instantly.,We can improve our day to day life a lot.,cell_phones_and_social_media_improve_families,neutral
49,"Taking the time to get to know someone, especially someone you plan to spend your whole life with, is critical.","Though some people may believe shorter time would be okay,",dating_before_engagement,neutral
50,"looking at the high rate of divorce,",People should date at least one year before getting engaged.,dating_before_engagement,neutral
51,Some people may be more comfortable with extended dating.,Therefore there's no simple hard and fast rule that suffices for this question.,dating_before_engagement,neutral
52,It takes at least this long to get to know each other on a level deeper than attraction.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
53,They should use this time to learn of each others character and beliefs.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
54,Families should get to know them as a couple as well.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
55,but it also takes a much larger chance that the couple will actually be compatible in the long run.,People should date for at least 1 year before they become engaged.,dating_before_engagement,neutral
56,To do so will take time though.,I say they need to date at least one year.,dating_before_engagement,neutral
57,That will give them time to see the good and the bad.,I say they need to date at least one year.,dating_before_engagement,neutral
58,That will give them time to see the good and the bad.,People should get to know each other well before they become engaged.,dating_before_engagement,neutral
59,Fracking causing environmental problems such as polluting the water supply.,There are other sources of energy that are safer than using fracking.,fracking,neutral
60,Fracking causing environmental problems such as polluting the water supply.,Some may say that fracking is needed,fracking,neutral
61,"Also, fracking has been shown to destabilize the ground and cause earthquakes in the Midwest.",There are other sources of energy that are safer than using fracking.,fracking,neutral
62,"Also, fracking has been shown to destabilize the ground and cause earthquakes in the Midwest.",Some may say that fracking is needed,fracking,neutral
63,The chemicals used to get the gas out of the ground are not proven safe.,Some may say that fracking is needed,fracking,neutral
64,Some may say that fracking is needed,There are other sources of energy that are safer than using fracking.,fracking,neutral
65,and the questionable safety of fracking.,There are other sources of energy that are safer than using fracking.,fracking,neutral
66,One could argue that it's just a movie and you shouldn't let it affect your life.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
67,"When you spend your time watching unrealistic romantic movies, you start thinking it's reality.","Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
68,"However, people can't always distinguish between the two.",You begin to resent your partner for not behaving the way they do in the movies. Women are especially prone to this.,romantic_movies_endanger_relationships,neutral
69,"However, people can't always distinguish between the two.","Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
70,"Most people can tell the difference between reality and movies,","Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
71,We have everyday responsibilities that you don't see in movies.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
72,We have mundane and boring moments and lots of them.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
73,I have a hard time believing too that in real life people that we would tend to be attracted to would even be closely comparable to a character in a movie.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",romantic_movies_endanger_relationships,neutral
74,"It only shows the good, positive side of the relationship, not the genuine, real difficult times the couple goes through.","Romantic movies set high expectations for relationships, sometimes even unrealistic.",romantic_movies_endanger_relationships,neutral
75,It is undeniable that the space and resources of this planet are scarce.,"Yes, recycling really makes a difference.",influence_of_recycling,neutral
76,It also makes people feel like they are really making an impact on the environment by doing something that is very easy and doesn't take much time to do.,"One should always try to reuse, reduce and recycle anything that they can.",influence_of_recycling,neutral
77,one being we are using less energy by recycling then we use by producing new items.,"One should always try to reuse, reduce and recycle anything that they can.",influence_of_recycling,neutral
78,by keeping non-natural things out of it.,Recycling really does make a difference,influence_of_recycling,neutral
79,because they tend to cause distraction.,This causes further hindrance to safe driving,prohibition_of_phones_while_driving,neutral
80,because they tend to cause distraction.,as the driver ends up using just one hand instead of both hands on the steering wheel.,prohibition_of_phones_while_driving,neutral
81,Holding the cell phone in the hand while driving and talking causes attention to be diverted off the roads and traffic.,Car drivers should be prohibited from using cell phones,prohibition_of_phones_while_driving,neutral
82,Holding the cell phone in the hand while driving and talking causes attention to be diverted off the roads and traffic.,as the driver ends up using just one hand instead of both hands on the steering wheel.,prohibition_of_phones_while_driving,neutral
83,as the driver ends up using just one hand instead of both hands on the steering wheel.,Car drivers should be prohibited from using cell phones,prohibition_of_phones_while_driving,neutral
84,as the driver ends up using just one hand instead of both hands on the steering wheel.,because they tend to cause distraction.,prohibition_of_phones_while_driving,neutral
85,Cell phone usage could be limited to blue tooth only,because they tend to cause distraction.,prohibition_of_phones_while_driving,neutral
86,Cell phone usage could be limited to blue tooth only,This causes further hindrance to safe driving,prohibition_of_phones_while_driving,neutral
87,"Using a cell phone while driving distracts drivers from road hazards and the task at hand,","While the use of a mobile GPS can be necessary in many cases,",prohibition_of_phones_while_driving,neutral
88,potentially putting the driver and others on the road at risk of a serious accident.,"While the use of a mobile GPS can be necessary in many cases,",prohibition_of_phones_while_driving,neutral
89,"While the use of a mobile GPS can be necessary in many cases,",potentially putting the driver and others on the road at risk of a serious accident.,prohibition_of_phones_while_driving,neutral
90,"ultimately, the cons of using cells when driving outweigh this value.",potentially putting the driver and others on the road at risk of a serious accident.,prohibition_of_phones_while_driving,neutral
91,"ultimately, the cons of using cells when driving outweigh this value.",Driving while using cell phones is dangerous.,prohibition_of_phones_while_driving,neutral
92,A vehicle can be a lethal weapon if used carelessly.,"Some may say that just talking in a car while driving is a distraction, even without holding a cell phone;",prohibition_of_phones_while_driving,neutral
93,"Some may say that just talking in a car while driving is a distraction, even without holding a cell phone;",A vehicle can be a lethal weapon if used carelessly.,prohibition_of_phones_while_driving,neutral
94,"however, anything that helps keep a driver's attention on driving, is a positive.",A vehicle can be a lethal weapon if used carelessly.,prohibition_of_phones_while_driving,neutral
95,Not allowing driver to talk on their cell phones will prevent many accidents and tragedies.,"Some may say that just talking in a car while driving is a distraction, even without holding a cell phone;",prohibition_of_phones_while_driving,neutral
96,"but the truth of the matter is, driving needs the driver's full attention.",Any caught driving while operating a cell phone should be punished with steep fines.,prohibition_of_phones_while_driving,neutral
97,"but the truth of the matter is, driving needs the driver's full attention.","Being distracting by one's cell phone can significantly increase the chances of getting into a major car accident, cause harm to the driver, their passengers and other motorists on the road.",prohibition_of_phones_while_driving,neutral
98,"No matter who good a driver you might think you are, and you may feel that your paying attention well enough,",Any caught driving while operating a cell phone should be punished with steep fines.,prohibition_of_phones_while_driving,neutral
99,Using a cell phone while driving is extremely dangerous.,"Some people might argue that they could miss an important call while driving,",prohibition_of_phones_while_driving,neutral
100,"Any time a driver is focused on a handheld device, they are not paying attention to the road.","Some people might argue that they could miss an important call while driving,",prohibition_of_phones_while_driving,neutral
101,"Some people might argue that they could miss an important call while driving,",Using a cell phone while driving is extremely dangerous.,prohibition_of_phones_while_driving,neutral
102,but it is far better to pull to the side of the road and take the call rather than to keep driving.,Using a cell phone while driving is extremely dangerous.,prohibition_of_phones_while_driving,neutral
103,The idea of saving wildlife and gaining money from the recycling products would be expected to outweigh the negative aspect of having to use gas actually recycle.,All states should adopt a deposit on soft dring bottles and cans in order to promote recycling.,promote_recycling_by_bottle_deposit,neutral
104,I regularly see people bringing huge amounts of bottles and cans to grocery stores to recycle them.,This has also become a source of income for homeless people.,promote_recycling_by_bottle_deposit,neutral
105,"While I do not have exact statistics on the topic,",This has also become a source of income for homeless people.,promote_recycling_by_bottle_deposit,neutral
106,The five or ten cent deposit is noticeable and serves as a reminder of recycling during checkout.,All states should adopt a deposit on soft drink bottles and cans,promote_recycling_by_bottle_deposit,neutral
107,Recycling is vital,The five or ten cent deposit is noticeable and serves as a reminder of recycling during checkout.,promote_recycling_by_bottle_deposit,neutral
108,"Protecting our environment is crucial to combating climate change,",It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
109,one small change is to promote the recycling of soft drink bottles and cans.,It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
110,"This is a simple way to reuse plastic and other materials, to decrease the amount of gas that it harvested.",you encourage people to pick these cans up along the road,promote_recycling_by_bottle_deposit,neutral
111,"This is a simple way to reuse plastic and other materials, to decrease the amount of gas that it harvested.",It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
112,you encourage people to pick these cans up along the road,It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
113,thus creating a cleaner environment.,one small change is to promote the recycling of soft drink bottles and cans.,promote_recycling_by_bottle_deposit,neutral
114,thus creating a cleaner environment.,It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
115,It is also a benefit as it encourages people to go to stores to recycle,one small change is to promote the recycling of soft drink bottles and cans.,promote_recycling_by_bottle_deposit,neutral
116,and encouraging economic growth.,one small change is to promote the recycling of soft drink bottles and cans.,promote_recycling_by_bottle_deposit,neutral
117,and encouraging economic growth.,It is also a benefit as it encourages people to go to stores to recycle,promote_recycling_by_bottle_deposit,neutral
118,it would help the environment,and clean up the roads.,promote_recycling_by_bottle_deposit,neutral
119,The items you can make from recycling are good for the environment,and clean up the roads.,promote_recycling_by_bottle_deposit,neutral
120,Social media has allowed teenagers a constant way to communicate with each other,as well as an easy way to find new potential friends.,social_media_improves_teenager_lives,neutral
121,Numerous people meet new people everyday using platforms such as Facebook and Twitter from the comfort of their own homes.,"All in all, I would definitely say that social media has improved the life of teenagers.",social_media_improves_teenager_lives,neutral
122,Social Media also allows teenagers to get a look at someone's life before learning more about them.,as well as an easy way to find new potential friends.,social_media_improves_teenager_lives,neutral
123,Some social media platforms even make money for teenagers if they have enough followers.,as well as an easy way to find new potential friends.,social_media_improves_teenager_lives,neutral
124,They can use social media to gather important information from friends and families to enhance the academic abilities.,"Social media has improved the lives of teenagers,",social_media_improves_teenager_lives,neutral
125,"Teenagers have the opportunity to engage with teachers, professors and leaders to gain great knowledge for their academic studies.","Social media has improved the lives of teenagers,",social_media_improves_teenager_lives,neutral
126,"Social bullying is a rampant issue,",specifically because they are not yet developed enough to handle it.,social_media_improves_teenager_lives,neutral
127,but because there are no limits teens often wind up spending more time in that virtual world than in the real world.,specifically because they are not yet developed enough to handle it.,social_media_improves_teenager_lives,neutral
128,but the simple fact remains that young people today can find it easier to find like-minded others and new friends who share even uncommon interests.,Social media has improved the lives of teenagers.,social_media_improves_teenager_lives,neutral
129,but the simple fact remains that young people today can find it easier to find like-minded others and new friends who share even uncommon interests.,"Though many point out the dangers of online bullying or even adult predators,",social_media_improves_teenager_lives,neutral
130,They can reach out for support or camaraderie at pretty much any time rather than being limited to time spent physically with others their own age.,"Though many point out the dangers of online bullying or even adult predators,",social_media_improves_teenager_lives,neutral
131,They can share what matters to them and feel validation that adolescents in the past may have been unable to find.,"Though many point out the dangers of online bullying or even adult predators,",social_media_improves_teenager_lives,neutral
132,First it has seemingly kept children from many real life interactions and confined them to the front of a computer screen or cell phone.,Also it has redefined the term 'friend' and therefor friendship.,social_media_improves_teenager_lives,neutral
133,and they pollute the environment.,There are those who would say that not everyone can afford reusable bags,charge_for_plastic_bags,neutral
134,The problem with plastic bags is they are not biodegradable,but that is not a valid argument,charge_for_plastic_bags,neutral
135,to provide an incentive for using them.,and they pollute the environment.,charge_for_plastic_bags,neutral
136,to provide an incentive for using them.,There are those who would say that not everyone can afford reusable bags,charge_for_plastic_bags,neutral
137,There are those who would say that not everyone can afford reusable bags,and they pollute the environment.,charge_for_plastic_bags,neutral
138,but that is not a valid argument,and they pollute the environment.,charge_for_plastic_bags,neutral
139,because the plastic bags will still be available for only a few pennies.,and they pollute the environment.,charge_for_plastic_bags,neutral
140,This charge could help people remember and consider the idea of using 'free' reusable bags.,"But also, the fee for the plastic bags could go towards the cost of recycling the bags.",charge_for_plastic_bags,neutral
141,"But if the fee was small, it wouldn't be too bad for those who forgot their reusable bags, or have their reasons for using plastic each time.","But also, the fee for the plastic bags could go towards the cost of recycling the bags.",charge_for_plastic_bags,neutral
142,They could add a program for collecting clean used bags.,I think that supermarkets should charge a small amount for plastic bags.,charge_for_plastic_bags,neutral
143,Its very harmful and spoils the Nature and anything in its contact.,Definitely supermarkets should charge for plastic bags.,charge_for_plastic_bags,neutral
144,Many people reuse the plastic bags after they return from the store.,"Using reusable bags is good for the environment,",charge_for_plastic_bags,neutral
145,The approximately one trillion plastic bags used annually across the world pose a serious threat to various animals,Supermarkets should charge for plastic bags,charge_for_plastic_bags,neutral
146,The approximately one trillion plastic bags used annually across the world pose a serious threat to various animals,"Although alternatives like paper and cotton reusable bags potentially create a negative impact greater than plastic bags,",charge_for_plastic_bags,neutral
147,and a long term environmental menace.,Supermarkets should charge for plastic bags,charge_for_plastic_bags,neutral
148,a well-informed and properly motivated population can significantly reduce environmental hazards.,Supermarkets should charge for plastic bags,charge_for_plastic_bags,neutral
149,Existing disposable plastic bags aren't going anywhere any time soon,"Although alternatives like paper and cotton reusable bags potentially create a negative impact greater than plastic bags,",charge_for_plastic_bags,neutral
150,since it takes up to a 1000 years for one to breakdown.,"Although alternatives like paper and cotton reusable bags potentially create a negative impact greater than plastic bags,",charge_for_plastic_bags,neutral
151,One could argue that a supermarket charging for plastic bags would cause them to lose customers who might shop somewhere else that doesn't charge.,There is also the environmental concern that plastic bags harm the environment.,charge_for_plastic_bags,neutral
152,A simple internet search reveals that there are ways to recycle plastic bags if your curbside program doesn't allow them.,Supermarkets should not charge for plastic bags.,charge_for_plastic_bags,neutral
153,A simple internet search reveals that there are ways to recycle plastic bags if your curbside program doesn't allow them.,There is also the environmental concern that plastic bags harm the environment.,charge_for_plastic_bags,neutral
154,"Lets put the burden on the consumer, not the retailer.",There is also the environmental concern that plastic bags harm the environment.,charge_for_plastic_bags,neutral
155,"Lets put the burden on the consumer, not the retailer.",I believe that proper disposal of plastic bags solves the problem without creating a financial hardship for the retailer.,charge_for_plastic_bags,neutral
156,The proof is the increase in violent crimes,"Violent video games do increase violent behavior, especially in young children.",violent_video_games_cause_violence,neutral
157,and increase in school shootings.,"Violent video games do increase violent behavior, especially in young children.",violent_video_games_cause_violence,neutral
158,There are those that say that violence in video games exposes children to hurting people which could cause them to act those things out in reality.,"In fact, I believe the evidence shows that the opposite is the case.",violent_video_games_cause_violence,neutral
159,I disagree.,Violent video games do not cause people to act out violently.,violent_video_games_cause_violence,neutral
160,"In fact, I believe the evidence shows that the opposite is the case.",Violent video games do not cause people to act out violently.,violent_video_games_cause_violence,neutral
161,"In fact, I believe the evidence shows that the opposite is the case.",There are those that say that violence in video games exposes children to hurting people which could cause them to act those things out in reality.,violent_video_games_cause_violence,neutral
162,"Children, especially young boys who have an outlet for the expression that involves simulated events and not real ones helps them to learn about and work through important themes like violence.",There are those that say that violence in video games exposes children to hurting people which could cause them to act those things out in reality.,violent_video_games_cause_violence,neutral
163,but they are more violent overall.,"Video games do cause people, especially impressionable teens, to act more violent.",violent_video_games_cause_violence,neutral
164,"When they compare the games and the excitement of the violence and gore to their real lives, it makes them crave that same level of intensity which makes them act out.","Video games do cause people, especially impressionable teens, to act more violent.",violent_video_games_cause_violence,neutral
165,violent video games cause people to watch and participate in imaginary scenarios.,some may argue that television and movies also cause people to act violently.,violent_video_games_cause_violence,neutral
166,No studies have shown that.,"Perhaps violent people are drawn to violent games,",violent_video_games_cause_violence,neutral
167,It causes a type of stimulation that can trigger a violent reaction.,"Thus, if an individual constantly plays violent video game this may trigger an improper reaction.",violent_video_games_cause_violence,neutral
168,"For example, there is a certain area in the brain that can malfunction and cause adverse reactions.","Thus, if an individual constantly plays violent video game this may trigger an improper reaction.",violent_video_games_cause_violence,neutral
169,"For example, there is a certain area in the brain that can malfunction and cause adverse reactions.",Violent games cause people to react in an uncertain manner.,violent_video_games_cause_violence,neutral
170,but cannot in and of themselves cause violence.,Violent video games do not themselves cause people to act out violently.,violent_video_games_cause_violence,neutral
171,A violent person will seek out justification and violence in whatever forms exist.,"Video games may contribute to the overall mindset of a violent person who acts out violently,",violent_video_games_cause_violence,neutral
172,"but is only one factor among a whole host of factors leading to violence, the most important of which is individual choice.",Violent video games do not themselves cause people to act out violently.,violent_video_games_cause_violence,neutral
173,"but is only one factor among a whole host of factors leading to violence, the most important of which is individual choice.","Video games may contribute to the overall mindset of a violent person who acts out violently,",violent_video_games_cause_violence,neutral
174,"Although they can be an interesting and captivating teaching tool when used in moderation,",but they also have the tendency to become addicted to these video games.,video_games_as_teaching_tools,neutral
175,Excessive use of video games damages children's ability to interact in real life situations.,but they also have the tendency to become addicted to these video games.,video_games_as_teaching_tools,neutral
176,"Not only do kids lose the ability to socialize face to face,",but they also have the tendency to become addicted to these video games.,video_games_as_teaching_tools,neutral
177,"Such addiction to video games can open the door to other, more damaging addictions, such as drugs, alcohol, tobacco, and pornography.","if video games are too heavily relied on in the classroom, it can ultimately be damaging to our society.",video_games_as_teaching_tools,neutral
178,Videogames hurt the eyes of children,They will not learn as much,video_games_as_teaching_tools,neutral
179,and can be violent.,"Some might say that video games will get the attention of these students,",video_games_as_teaching_tools,neutral
180,They will view school time as entertainment and not as serious.,Schools should not use video games as a teaching tool.,video_games_as_teaching_tools,neutral
181,They will view school time as entertainment and not as serious.,and will not succeed because of these video games.,video_games_as_teaching_tools,neutral
182,They will view school time as entertainment and not as serious.,"Some might say that video games will get the attention of these students,",video_games_as_teaching_tools,neutral
183,They will not learn as much,Schools should not use video games as a teaching tool.,video_games_as_teaching_tools,neutral
184,They will not learn as much,"Some might say that video games will get the attention of these students,",video_games_as_teaching_tools,neutral
185,but I think that this opinion is a myth and is not based in fact.,Schools should not use video games as a teaching tool.,video_games_as_teaching_tools,neutral
186,but I think that this opinion is a myth and is not based in fact.,They will not learn as much,video_games_as_teaching_tools,neutral
187,but I think that this opinion is a myth and is not based in fact.,and will not succeed because of these video games.,video_games_as_teaching_tools,neutral
188,"This ensures something good is being gained from video games in school, and technology is well-utilized.",Video games are much more than just having fun and goofing off.,video_games_as_teaching_tools,neutral
189,"Many games can teach people several skills without even realizing it, such as planning ahead, patience and persistence, efficiency, and more.","If games were actually tailored to the learning aspect, they could still be seriously fun (and have super cool graphics), but require a skill - like math or grammar - to be learned, to win the game.",video_games_as_teaching_tools,neutral
190,"but kids sometimes tire of that quickly, and they need something to hold their attention.",Video games can definitely be used as a positive tool in schools to help teachers teach.,video_games_as_teaching_tools,neutral
191,"Adding technology of any kind, even computers, hasn't improved national test scores.",Some would argue that schools need more money to spend on this kind of creative approach.,video_games_as_teaching_tools,neutral
